Annie Hall;[u'Comedy', u'Romance'];[u'Woody Allen', u'Marshall Brickman'];Annie_Hall;../data/scraping/texts/Annie_Hall.txt
Anniversary Party, The;[u'Drama'];[u'Alan Cummings', u'Jennifer Jason Leigh'];Anniversary_Party;../data/scraping/texts/Anniversary_Party.txt
Anonymous;[u'Drama', u'Thriller'];[u'John Orloff'];Anonymous;../data/scraping/texts/Anonymous.txt
Antitrust;[u'Thriller', u'Crime', u'Drama'];[u'Howard Franklin'];Antitrust;../data/scraping/texts/Antitrust.txt
Antz;[u'Adventure', u'Animation', u'Comedy', u'Fantasy'];[u'Todd Alcott', u'Chris Weitz', u'Paul Weitz'];Antz;../data/scraping/texts/Antz.txt
Apartment, The;[u'Comedy'];[u'Billy Wilder', u'I.A.L Diamond'];Apartment;../data/scraping/texts/Apartment.txt
Apocalypse Now;[u'Action', u'Drama', u'War'];[u'Francis Ford Coppola', u'John Milius', u'Joseph Conrad'];Apocalypse_Now;../data/scraping/texts/Apocalypse_Now.txt
Apollo 13;[u'Drama', u'Adventure'];[u'Jim Lovell', u'Jeffrey Kluger', u'William Broyles Jr.', u'Al Reinert'];Apollo_13;../data/scraping/texts/Apollo_13.txt
April Fool's Day;[u'Comedy', u'Horror', u'Mystery'];[u'Danilo Bach'];April_Fool's_Day;../data/scraping/texts/April_Fool's_Day.txt
Apt Pupil;[u'Drama', u'Thriller'];[u'Brandon Boyce'];Apt_Pupil;../data/scraping/texts/Apt_Pupil.txt
Arbitrage;[u'Drama', u'Thriller'];[u'Nicholas Jarecki'];Arbitrage;../data/scraping/texts/Arbitrage.txt
Arcade;[u'Sci-Fi'];[u'David S. Goyer'];Arcade;../data/scraping/texts/Arcade.txt
Arctic Blue;[u'Action', u'Thriller'];[u'Ross LaManna'];Arctic_Blue;../data/scraping/texts/Arctic_Blue.txt
Argo;[u'Drama', u'Thriller'];[u'Chris Terrio'];Argo;../data/scraping/texts/Argo.txt
Armageddon;[u'Action', u'Sci-Fi', u'Thriller'];[u'Jonathan Hensleigh', u'J.J. Abrams'];Armageddon;../data/scraping/texts/Armageddon.txt
Army of Darkness;[u'Adventure', u'Fantasy', u'Action', u'Comedy', u'Horror'];[u'Sam Raimi', u'Ivan Raimi'];Army_of_Darkness;../data/scraping/texts/Army_of_Darkness.txt
Arsenic and Old Lace;[u'Comedy', u'Crime'];[u'Julius J. Epstein', u'Philip G. Epstein', u'Joseph Kesselring'];Arsenic_and_Old_Lace;../data/scraping/texts/Arsenic_and_Old_Lace.txt
Arthur;[u'Comedy'];[u'Peter Baynham'];Arthur;../data/scraping/texts/Arthur.txt
Artist, The;[u'Romance', u'Comedy', u'Drama'];[u'Michel Hazanavicius'];Artist;../data/scraping/texts/Artist.txt
As Good As It Gets;[u'Comedy', u'Drama', u'Romance'];[u'Mark Andrus', u'James L. Brooks'];As_Good_As_It_Gets;../data/scraping/texts/As_Good_As_It_Gets.txt
Assassins;[u'Action', u'Thriller'];[u'Larry Wachowski', u'Andy Wachowski'];Assassins;../data/scraping/texts/Assassins.txt
Assignment, The;[u'Thriller'];[u'Dan Gordon', u'Sabi H. Shabtai'];Assignment;../data/scraping/texts/Assignment.txt
At First Sight;[u'Drama'];[u'Oliver Sacks', u'Steve Levitt', u'Irwin Winkler', u'Rob Cowan'];At_First_Sight;../data/scraping/texts/At_First_Sight.txt
August: Osage County;[u'Drama'];[u'Tracy Letts'];August:_Osage_County;../data/scraping/texts/August:_Osage_County.txt
Austin Powers - International Man of Mystery;[u'Action', u'Comedy'];[u'Mike Myers'];Austin_Powers_-_International_Man_of_Mystery;../data/scraping/texts/Austin_Powers_-_International_Man_of_Mystery.txt
Austin Powers - The Spy Who Shagged Me;[u'Action', u'Comedy'];[u'Mike Myers'];Austin_Powers_-_The_Spy_Who_Shagged_Me;../data/scraping/texts/Austin_Powers_-_The_Spy_Who_Shagged_Me.txt
Authors Anonymous;[u'Comedy'];[u'David Congalton'];Authors_Anonymous;../data/scraping/texts/Authors_Anonymous.txt
